rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,model_base,launch_date,model_age_days,launch_evidence_url
1,anthropic/claude-opus-4.5@reasoning=high,anthropic,high,1.9067,0.94,0.015,188,9,3,200,0,anthropic/claude-opus-4.5,2025-11-24,103,https://www.anthropic.com/news/claude-opus-4-5
2,anthropic/claude-sonnet-4.6@reasoning=high,anthropic,high,1.905,0.93,0.02,186,10,4,200,0,anthropic/claude-sonnet-4.6,2026-02-17,18,https://www.anthropic.com/news/claude-sonnet-4-6
3,anthropic/claude-sonnet-4.6@reasoning=none,anthropic,none,1.905,0.925,0.015,185,12,3,200,0,anthropic/claude-sonnet-4.6,2026-02-17,18,https://www.anthropic.com/news/claude-sonnet-4-6
4,anthropic/claude-opus-4.6@reasoning=high,anthropic,high,1.9033,0.925,0.02,185,11,4,200,0,anthropic/claude-opus-4.6,2026-02-05,30,https://www.anthropic.com/news/claude-opus-4-6
5,anthropic/claude-opus-4.6@reasoning=none,anthropic,none,1.8867,0.91,0.02,182,14,4,200,0,anthropic/claude-opus-4.6,2026-02-05,30,https://www.anthropic.com/news/claude-opus-4-6
6,anthropic/claude-opus-4.5@reasoning=none,anthropic,none,1.82,0.885,0.06,177,11,12,200,0,anthropic/claude-opus-4.5,2025-11-24,103,https://www.anthropic.com/news/claude-opus-4-5
7,anthropic/claude-sonnet-4.5@reasoning=high,anthropic,high,1.7783,0.84,0.045,168,23,9,200,0,anthropic/claude-sonnet-4.5,2025-09-29,159,https://www.anthropic.com/news/claude-sonnet-4-5
8,anthropic/claude-haiku-4.5@reasoning=none,anthropic,none,1.7733,0.825,0.05,165,25,10,200,0,anthropic/claude-haiku-4.5,2025-10-15,143,https://www.anthropic.com/news/claude-haiku-4-5
9,anthropic/claude-haiku-4.5@reasoning=high,anthropic,high,1.76,0.83,0.06,166,22,12,200,0,anthropic/claude-haiku-4.5,2025-10-15,143,https://www.anthropic.com/news/claude-haiku-4-5
10,anthropic/claude-sonnet-4.5@reasoning=none,anthropic,none,1.75,0.83,0.07,166,20,14,200,0,anthropic/claude-sonnet-4.5,2025-09-29,159,https://www.anthropic.com/news/claude-sonnet-4-5
11,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.7033,0.78,0.05,78,17,5,100,100,qwen/qwen3.5-397b-a17b,2026-02-17,18,https://www.alibabacloud.com/blog/602894
12,moonshotai/kimi-k2.5@reasoning=none,moonshotai,none,1.5583,0.71,0.145,142,29,29,200,0,moonshotai/kimi-k2.5,2026-01-27,39,https://www.kimi.com/ai-models/kimi-k2-5
13,qwen/qwen3.5-397b-a17b@reasoning=none,qwen,none,1.5267,0.69,0.15,69,16,15,100,100,qwen/qwen3.5-397b-a17b,2026-02-17,18,https://www.alibabacloud.com/blog/602894
14,google/gemini-3-pro-preview@reasoning=low,google,low,1.4783,0.665,0.195,133,28,39,200,0,google/gemini-3-pro-preview,2025-11-18,109,https://ai.google.dev/gemini-api/docs/changelog
15,google/gemini-3.1-pro-preview@reasoning=low,google,low,1.4733,0.64,0.16,128,40,32,200,0,google/gemini-3.1-pro-preview,2026-02-19,16,https://ai.google.dev/gemini-api/docs/changelog
16,openai/gpt-5.4@reasoning=none,openai,none,1.46,0.585,0.09,117,65,18,200,0,openai/gpt-5.4,,,
17,google/gemini-3-pro-preview@reasoning=high,google,high,1.3917,0.615,0.22,123,33,44,200,0,google/gemini-3-pro-preview,2025-11-18,109,https://ai.google.dev/gemini-api/docs/changelog
18,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,1.3892,0.5178,0.1015,102,75,20,197,3,openai/gpt-5.4,,,
19,anthropic/claude-3.5-sonnet@reasoning=default,anthropic,default,1.3867,0.615,0.215,123,34,43,200,0,anthropic/claude-3.5-sonnet,2024-06-21,624,https://www.anthropic.com/news/claude-3-5-sonnet
20,anthropic/claude-3.7-sonnet:thinking@reasoning=default,anthropic,default,1.3717,0.58,0.205,116,43,41,200,0,anthropic/claude-3.7-sonnet:thinking,2025-02-24,376,https://www.anthropic.com/news/claude-3-7-sonnet
21,openai/gpt-5.2-codex@reasoning=low,openai,low,1.3633,0.56,0.185,112,51,37,200,0,openai/gpt-5.2-codex,2025-12-18,79,https://openai.com/index/introducing-gpt-5-2-codex/
22,anthropic/claude-opus-4.1@reasoning=none,anthropic,none,1.3567,0.525,0.16,105,63,32,200,0,anthropic/claude-opus-4.1,2025-08-05,214,https://www.anthropic.com/news/claude-opus-4-1
23,anthropic/claude-3.7-sonnet@reasoning=default,anthropic,default,1.3533,0.58,0.215,116,41,43,200,0,anthropic/claude-3.7-sonnet,2025-02-24,376,https://www.anthropic.com/news/claude-3-7-sonnet
24,anthropic/claude-opus-4.1@reasoning=high,anthropic,high,1.3433,0.52,0.17,104,62,34,200,0,anthropic/claude-opus-4.1,2025-08-05,214,https://www.anthropic.com/news/claude-opus-4-1
25,openai/gpt-5.1-chat@reasoning=default,openai,default,1.3417,0.58,0.22,116,40,44,200,0,openai/gpt-5.1-chat,2025-11-13,114,https://developers.openai.com/api/docs/changelog
26,openai/gpt-5.2-codex@reasoning=xhigh,openai,xhigh,1.3333,0.545,0.185,109,54,37,200,0,openai/gpt-5.2-codex,2025-12-18,79,https://openai.com/index/introducing-gpt-5-2-codex/
27,google/gemini-3.1-pro-preview@reasoning=high,google,high,1.3183,0.545,0.235,109,44,47,200,0,google/gemini-3.1-pro-preview,2026-02-19,16,https://ai.google.dev/gemini-api/docs/changelog
28,openai/gpt-5.2-codex@reasoning=high,openai,high,1.2967,0.52,0.205,104,55,41,200,0,openai/gpt-5.2-codex,2025-12-18,79,https://openai.com/index/introducing-gpt-5-2-codex/
29,moonshotai/kimi-k2.5@reasoning=high,moonshotai,high,1.2967,0.495,0.19,99,63,38,200,0,moonshotai/kimi-k2.5,2026-01-27,39,https://www.kimi.com/ai-models/kimi-k2-5
30,openai/gpt-5.2@reasoning=none,openai,none,1.295,0.445,0.125,89,86,25,200,0,openai/gpt-5.2,2025-12-11,86,https://developers.openai.com/api/docs/changelog
31,anthropic/claude-opus-4@reasoning=default,anthropic,default,1.245,0.445,0.175,89,76,35,200,0,anthropic/claude-opus-4,2025-05-22,289,https://www.anthropic.com/news/claude-4
32,anthropic/claude-sonnet-4@reasoning=none,anthropic,none,1.235,0.475,0.24,95,57,48,200,0,anthropic/claude-sonnet-4,2025-05-22,289,https://www.anthropic.com/news/claude-4
33,anthropic/claude-sonnet-4@reasoning=high,anthropic,high,1.2067,0.475,0.26,95,53,52,200,0,anthropic/claude-sonnet-4,2025-05-22,289,https://www.anthropic.com/news/claude-4
34,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,1.1733,0.515,0.32,103,33,64,200,0,anthropic/claude-3.5-haiku,2024-10-22,501,https://www.anthropic.com/news/3-5-models-and-computer-use
35,openai/gpt-5.2@reasoning=high,openai,high,1.17,0.33,0.14,66,106,28,200,0,openai/gpt-5.2,2025-12-11,86,https://developers.openai.com/api/docs/changelog
